Sample_ID,Identification,Freezer,Rack,Box,Position,Source,Source_number,Organ/tissue,Site/Population,Lat,Long,Curator,Year,Wild or Lab,Comment,Duplicate
lyk4-40_rhizo_TSB_6.14_41,,Z-SCI,17,81,41,Arabidopsis_thaliana,lyk4-40,rhizosphere,Warren-Woods,41.837155,-86.631,Caroline Oldstone-Jackson,2018-05-01,W,"On the tube, we can find the following information: individual plant name/plant tissue source/solid media type isolated on/liquid media type liquid culture/date/isolate number",
lyk4-40_rhizo_TSB_6.14_42,Burkholderia sp.,Z-SCI,17,81,42,Arabidopsis_thaliana,lyk4-40,rhizosphere,Warren-Woods,41.837155,-86.631,Caroline Oldstone-Jackson,2018-05-01,W,"On the tube, we can find the following information: individual plant name/plant tissue source/solid media type isolated on/liquid media type liquid culture/date/isolate number",
lyk4-40_rhizo_TSB_6.14_43,,Z-SCI,17,81,43,Arabidopsis_thaliana,lyk4-40,rhizosphere,Warren-Woods,41.837155,-86.631,Caroline Oldstone-Jackson,2018-05-01,W,"On the tube, we can find the following information: individual plant name/plant tissue source/solid media type isolated on/liquid media type liquid culture/date/isolate number",
lyk4-40_rhizo_TSB_6.14_44,,Z-SCI,17,81,44,Arabidopsis_thaliana,lyk4-40,rhizosphere,Warren-Woods,41.837155,-86.631,Caroline Oldstone-Jackson,2018-05-01,W,"On the tube, we can find the following information: individual plant name/plant tissue source/solid media type isolated on/liquid media type liquid culture/date/isolate number",
lyk4-40_rhizo_TSB_6.14_45,,Z-SCI,17,81,45,Arabidopsis_thaliana,lyk4-40,rhizosphere,Warren-Woods,41.837155,-86.631,Caroline Oldstone-Jackson,2018-05-01,W,"On the tube, we can find the following information: individual plant name/plant tissue source/solid media type isolated on/liquid media type liquid culture/date/isolate number",
lyk4-40_rhizo_TSB_6.14_46,Pseudomonas sp.,Z-SCI,17,81,46,Arabidopsis_thaliana,lyk4-40,rhizosphere,Warren-Woods,41.837155,-86.631,Caroline Oldstone-Jackson,2018-05-01,W,"On the tube, we can find the following information: individual plant name/plant tissue source/solid media type isolated on/liquid media type liquid culture/date/isolate number",
lyk4-40_rhizo_TSB_6.14_47,Bacillus sp.,Z-SCI,17,81,47,Arabidopsis_thaliana,lyk4-40,rhizosphere,Warren-Woods,41.837155,-86.631,Caroline Oldstone-Jackson,2018-05-01,W,"On the tube, we can find the following information: individual plant name/plant tissue source/solid media type isolated on/liquid media type liquid culture/date/isolate number",
,empty,Z-SCI,17,81,48,,,,,,,,,,,
lyk4-40_rhizo_TSB_8.14_49,,Z-SCI,17,81,49,Arabidopsis_thaliana,lyk4-40,rhizosphere,Warren-Woods,41.837155,-86.631,Caroline Oldstone-Jackson,2018-05-01,W,"On the tube, we can find the following information: individual plant name/plant tissue source/solid media type isolated on/liquid media type liquid culture/date/isolate number",
lyk4-40_rhizo_TSB_9.14_50,,Z-SCI,17,81,50,Arabidopsis_thaliana,lyk4-40,rhizosphere,Warren-Woods,41.837155,-86.631,Caroline Oldstone-Jackson,2018-05-01,W,"On the tube, we can find the following information: individual plant name/plant tissue source/solid media type isolated on/liquid media type liquid culture/date/isolate number",
lyk4-40_rhizo_TSB_10.14_51,,Z-SCI,17,81,51,Arabidopsis_thaliana,lyk4-40,rhizosphere,Warren-Woods,41.837155,-86.631,Caroline Oldstone-Jackson,2018-05-01,W,"On the tube, we can find the following information: individual plant name/plant tissue source/solid media type isolated on/liquid media type liquid culture/date/isolate number",
