population,latitude,longitude,Elevation,MAT,MCMT,PPT_wt,PPT_sp,PPT_sm,PPT_at,Nitrogen,CN,pH,Phosphore,Calcium,Magnesium,Sodium,Potassium,Iron,Aluminium,WHC,OC,SOM,Manganese,leaf_Otu0000001,leaf_Otu0000002,leaf_Otu0000003,leaf_Otu0000004,leaf_Otu0000005,leaf_Otu0000006,leaf_Otu0000008,leaf_Otu0000009,leaf_Otu0000010,leaf_Otu0000011,leaf_Otu0000012,leaf_Otu0000013,leaf_Otu0000014,leaf_Otu0000015,leaf_Otu0000016,leaf_Otu0000017,leaf_Otu0000018,leaf_Otu0000022,leaf_Otu0000023,leaf_Otu0000025,leaf_Otu0000027,leaf_Otu0000028,leaf_Otu0000029,leaf_Otu0000030,leaf_Otu0000031,leaf_Otu0000032,leaf_Otu0000033,leaf_Otu0000034,leaf_Otu0000035,leaf_Otu0000036,leaf_Otu0000037,leaf_Otu0000038,leaf_Otu0000042,leaf_Otu0000044,leaf_Otu0000051,leaf_Otu0000052,leaf_Otu0000057,leaf_Otu0000058,leaf_Otu0000063,leaf_Otu0000066,leaf_Otu0000067,leaf_Otu0000068,leaf_Otu0000070,leaf_Otu0000073,leaf_Otu0000074,leaf_Otu0000077,leaf_Otu0000078,leaf_Otu0000084,leaf_Otu0000089,leaf_Otu0000093,leaf_Otu0000094,leaf_Otu0000096,leaf_Otu0000100,leaf_Otu0000101,leaf_Otu0000109,leaf_Otu0000115,leaf_Otu0000116,leaf_Otu0000117,leaf_Otu0000120,leaf_Otu0000137,leaf_Otu0000152,leaf_Otu0000157,leaf_Otu0000179,leaf_Otu0000246,leaf_Otu0000365,root_Otu0000001,root_Otu0000002,root_Otu0000003,root_Otu0000004,root_Otu0000005,root_Otu0000006,root_Otu0000007,root_Otu0000009,root_Otu0000011,root_Otu0000016,root_Otu0000017,root_Otu0000019,root_Otu0000020,root_Otu0000021,root_Otu0000024,root_Otu0000026,root_Otu0000028,root_Otu0000030,root_Otu0000041,root_Otu0000046,root_Otu0000049,root_Otu0000050,root_Otu0000051,root_Otu0000058,root_Otu0000063,root_Otu0000064,root_Otu0000070,root_Otu0000075,root_Otu0000076,root_Otu0000100,root_Otu0000102,root_Otu0000114,root_Otu0000121,root_Otu0000122,root_Otu0000144,root_Otu0000146,root_Otu0000156,root_Otu0000163,root_Otu0000174,root_Otu0000199,root_Otu0000238,root_Otu0000258,root_Otu0000284,root_Otu0000989,richness_microbiota_leaf,Shannon_microbiota_leaf,PCOA1_microbiota_leaf,PCOA2_microbiota_leaf,richness_pathobiota_leaf,Shannon_pathobiota_leaf,PCOA1_pathobiota_leaf,PCOA2_pathobiota_leaf,richness_microbiota_root,Shannon_microbiota_root,PCOA1_microbiota_root,PCOA2_microbiota_root,richness_pathobiota_root,Shannon_pathobiota_root,PCOA2_pathobiota_root,plant_OTU1,plant_OTU3,plant_OTU4,plant_OTU7,plant_OTU8,plant_OTU10,plant_OTU15,plant_OTU16,plant_OTU18,plant_OTU20,plant_OTU27,plant_OTU46,plant_OTU49,plant_OTU65,plant_OTU67,plant_OTU71,plant_OTU72,plant_OTU78,plant_OTU83,plant_OTU87,plant_OTU88,plant_OTU100,plant_OTU109,plant_OTU113,plant_OTU114,plant_OTU132,plant_OTU136,plant_OTU143,plant_OTU145,plant_OTU146,plant_OTU147,plant_OTU149,plant_OTU154,plant_OTU159,plant_OTU179,plant_OTU192,plant_OTU196,plant_OTU198,plant_OTU202,plant_OTU203,plant_OTU204,plant_OTU216,plant_OTU223,plant_OTU234,plant_richness,plant_Shannon,plant_pcoa1,plant_pcoa2,plant_pcoa3
SALE-A,43.024966,0.965965,413,10.04,-0.04,113.18,78.09,102.00,191.36,2.455,14.200,7.820,0.073,13.050,0.963,0.034,0.397,0.000,0.024,0.309,34.850,60.250,0.006,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.43160016,2.158705138,0.1720649338,-0.05507974541,2.29698673,0.4685172654,0.1348768939,-0.06287772599,10.23427143,1.970274573,0.1253521571,-0.1298371377,2.092314634,0.4786989543,0.02995865892,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,105,0,1,1,0,71,0,0,0,0,0,0,7,0.644875582,-0.1344,-0.02431,0.1027
SALV-A,43.602578,2.363380,473,9.70,-0.45,215.00,103.45,108.64,252.18,3.370,18.200,7.690,0.078,14.050,1.219,0.372,0.716,0.004,0.020,0.386,59.850,103.400,0.003,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,10.71526016,2.022455138,0.3173549338,0.1297402546,2.51350673,0.5531072654,0.07691689394,-0.03097772599,8.765371429,1.581914573,0.3026321571,0.1402328623,.,.,.,1,0,0,0,0,2,0,0,13,1,0,13,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,3,13,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,21,1.938875582,0.0225,0.1188,-0.02325
SAMA-A,43.494325,0.923910,179,10.55,0.09,115.82,71.18,85.09,171.18,0.940,10.300,7.130,0.039,8.865,1.250,0.048,0.877,0.010,0.060,0.380,9.630,16.700,0.036,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.778760158,1.593705138,-0.08354506616,0.2932402546,2.03268673,0.4608172654,-0.04466310606,-0.141707726,11.13507143,1.931089573,-0.2395678429,0.2078328623,.,.,.,0,0,0,1,0,0,0,1,0,0,1,0,0,0,12,158,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,257,0,0,0,0,46,0,0,0,0,0,0,10,1.170675582,0.03171,-0.2359,0.04857
SAUB-A,43.464914,1.365136,164,10.71,0.20,108.55,70.64,80.82,162.36,1.770,12.850,6.485,0.086,9.900,2.220,0.151,0.710,0.007,0.047,0.453,22.650,39.250,0.038,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.18896016,1.969665138,-0.03034506616,-0.3668597454,2.79398673,0.5286072654,0.1666968939,0.04516227401,9.758871429,2.027114573,-0.0830678429,-0.4525671377,2.118914634,0.5235319543,0.2530586589,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
SAUB-B,43.474107,1.364175,164,10.69,0.19,108.55,70.55,80.91,161.82,8.500,14.350,6.870,0.228,22.750,3.615,0.055,1.140,0.003,0.029,0.336,122.000,210.500,0.042,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.42726016,1.812405138,-0.4915450662,0.03305025459,3.03538673,0.4793972654,0.01661689394,-0.006807725993,7.038871429,0.9764145733,-0.8108678429,-0.01227713775,2.126614634,0.6060419543,0.2489586589,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,28,0,0,0,0,1,4,0,0,0,87,0,3,0,0,0,0,12,1.333575582,-0.04281,-0.01782,-0.2266
SAUB-C,43.475583,1.367589,164,10.69,0.19,108.55,70.45,80.73,161.82,1.735,11.050,7.295,0.123,10.250,1.185,0.049,0.854,0.003,0.017,0.360,19.300,33.350,0.018,1,0,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11.13426016,2.125235138,-0.07844506616,-0.2208597454,2.43978673,0.4444472654,-0.04176310606,0.01510227401,9.987471429,1.931995573,-0.1377678429,-0.3168671377,1.905624634,0.4693019543,0.2836586589,123,1,0,2,0,0,0,0,0,0,3,113,0,73,0,197,0,0,0,3,0,0,0,9,0,5,0,0,0,0,0,277,0,0,2,0,0,37,0,0,0,0,0,0,18,1.779875582,0.2862,0.02615,0.1672
SAUR-A,42.889844,1.485209,1023,8.15,-0.61,140.64,104.45,142.18,235.64,3.455,11.800,6.455,0.043,10.035,0.926,0.058,0.474,0.008,0.055,0.452,40.950,70.850,0.015,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
SEIS-A,43.487302,0.588798,193,10.39,0.11,124.09,71.18,85.45,179.55,1.595,12.650,7.980,0.044,11.350,0.597,0.041,0.240,0.000,0.023,0.403,20.250,35.100,0.000,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11.74246016,2.250505138,0.2863549338,0.05413025459,2.25918673,0.4349172654,-0.09936310606,-0.09720772599,9.878771429,1.709914573,0.2135321571,-0.01419713775,1.859814634,0.4130019543,0.1870986589,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
SIMO-A,43.449392,0.734601,204,10.45,0.13,120.27,71.91,86.36,178.18,2.925,13.600,7.930,0.222,20.250,1.215,0.027,1.057,0.000,0.022,0.354,39.700,68.650,0.000,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,10.14576016,1.941315138,0.2576549338,0.07773025459,2.19708673,0.4036172654,0.04707689394,0.04686227401,10.89957143,2.154114573,0.1959321571,-0.06792713775,1.846214634,0.4084419543,0.1744186589,0,0,0,0,0,0,1,0,0,1,8,0,0,0,7,9,0,1,0,4,1,3,0,4,0,0,0,0,0,0,0,0,117,0,1,1,0,27,12,0,0,7,0,0,16,1.574075582,0.1141,-0.2689,0.09049
SORE-A,43.452628,2.072476,293,10.39,0.08,150.00,80.82,81.18,186.82,2.280,10.100,8.050,0.097,12.900,3.110,0.038,0.693,0.000,0.000,0.505,23.100,40.000,0.000,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,10.17166016,1.858505138,0.2519549338,-0.03298974541,1.99368673,0.3172572654,0.02016689394,0.04986227401,13.64287143,2.470914573,0.1769321571,0.08433286225,.,.,.,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,12,1.147575582,0.1338,0.2244,-0.2076
TARN-C,43.853280,1.502009,99,10.82,0.24,119.64,69.00,80.91,164.64,0.752,12.100,7.230,0.070,4.350,0.448,0.047,0.382,0.005,0.038,0.327,9.100,15.750,0.008,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.90716016,1.819405138,0.3953549338,0.1641402546,3.48708673,0.6601572654,0.1844368939,-0.148597726,11.43667143,2.028614573,0.3904321571,0.07483286225,1.721014634,0.4282819543,0.2170386589,0,0,0,0,0,0,0,0,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,3,0.797375582,-0.114,0.08184,0.1012
THOM-A,43.513975,1.082859,322,9.95,-0.41,118.73,74.36,89.55,174.00,0.882,18.250,7.730,0.035,5.840,0.294,0.029,0.246,0.000,0.026,0.222,16.100,27.850,0.003,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11.32304016,2.001355138,-0.07394506616,0.2169402546,3.48868673,0.4895672654,0.2152368939,-0.03958772599,9.629671429,1.612814573,-0.1783678429,0.2042328623,2.330014634,0.4026319543,0.09348865892,0,1,0,0,0,0,2,29,2,0,57,0,0,0,24,0,0,0,0,3,0,205,0,0,0,0,0,11,0,0,0,0,0,4,0,0,4,59,0,0,0,72,0,0,16,1.630975582,0.08831,-0.07855,-0.1473
VALE-A,44.022296,2.403434,459,9.73,-0.49,175.91,87.36,110.09,212.82,1.365,12.750,8.120,0.097,14.550,1.230,0.031,0.719,0.006,0.041,0.386,17.450,30.200,0.000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.,.,.,.,.,.,.,.,9.790771429,1.843894573,0.2423321571,-0.04072713775,2.226514634,0.4459819543,0.1296486589,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0.779175582,-0.1982,0.1978,0.1147
VICT-B,44.052243,2.834023,629,9.35,-0.91,165.82,69.91,98.00,195.73,2.400,11.400,7.910,0.070,12.000,1.910,0.016,0.352,0.000,0.034,0.400,27.400,47.500,0.017,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,11.48173016,2.066795138,0.2187549338,0.05113025459,2.66266673,0.4872172654,0.1634868939,-0.107437726,12.26547143,2.224314573,0.1733321571,-0.07297713775,1.957994634,0.3837519543,0.3184586589,0,0,86,3,2,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,43,0,4,1,0,0,0,11,1.298175582,-0.02842,0.1207,-0.1131
VICT-C,44.052243,2.834023,629,9.35,-0.91,165.82,69.91,98.00,195.73,2.210,10.900,7.730,0.134,9.530,2.140,0.013,0.479,0.000,0.031,0.366,24.100,41.700,0.000,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9.870760158,1.959315138,0.2239549338,0.03526025459,3.17318673,0.6119572654,0.08527789394,-0.02213772599,9.505171429,1.860194573,0.1743321571,-0.09554713775,2.156714634,0.5895419543,0.2247686589,0,0,0,8,0,0,0,0,2,0,0,0,0,1,6,20,0,4,0,4,1,0,0,5,0,0,0,0,0,0,0,11,21,0,0,0,0,16,0,19,0,0,0,0,13,1.874675582,0.09801,-0.232,0.03869
VIEL-A,43.623801,2.089616,155,10.76,0.15,137.27,71.73,76.00,173.36,2.250,34.850,8.055,0.047,12.000,0.815,0.026,0.424,0.003,0.010,0.248,78.550,135.500,0.000,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.52816016,2.231505138,0.1782949338,-0.3203597454,3.57238673,0.7507572654,0.01207689394,0.01558227401,12.58567143,2.312614573,0.2507321571,-0.3315671377,2.368014634,0.7728419543,0.3635586589,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,9,0,5,2,0,133,0,0,0,0,0,0,0,0,0,82,0,0,2,0,0,1,12,1.309755582,0.1117,0.1951,-0.1977
VILLA-A,43.458174,1.380951,169,10.69,0.18,108.55,70.36,80.64,162.73,3.155,11.750,6.485,0.117,11.600,1.670,0.042,1.015,0.003,0.029,0.414,37.100,64.200,0.028,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,13.17296016,2.320005138,0.1536249338,-0.2340597454,2.73978673,0.5396072654,0.2965368939,-0.135907726,10.07307143,2.029414573,-0.0382778429,-0.4183671377,1.805114634,0.2372419543,0.2059186589,26,0,0,0,0,0,0,0,0,1,5,3,0,3,1,4,0,0,0,4,0,3,0,202,0,0,44,0,0,0,0,8,0,0,1,401,0,1175,0,0,0,2,0,0,20,1.254975582,0.2579,-0.0752,0.1708
VILLE-A,43.439784,1.671000,188,10.72,0.11,120.45,72.55,79.27,168.18,1.590,14.400,8.085,0.126,14.050,0.725,0.028,0.582,0.000,0.024,0.398,22.500,38.950,0.000,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,13.47786016,2.147105138,-0.03264506616,0.1311402546,2.21878673,0.4990572654,-0.05096310606,-0.105387726,12.24357143,2.232214573,0.1792321571,0.1054328623,2.081014634,0.5984419543,0.2216386589,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
VILLE-B,43.440342,1.669595,187,10.72,0.11,120.27,72.55,79.27,168.18,1.345,12.400,8.160,0.091,11.660,1.038,0.062,1.102,0.003,0.017,0.431,15.475,26.750,0.000,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,12.37266016,1.944175138,-0.2240450662,0.2581402546,1.69608673,0.2396572654,-0.09566310606,-0.167237726,9.936571429,1.270014573,-0.4120678429,0.2358328623,1.730914634,0.3456419543,-0.04924134108,76,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,354,0,4,0,0,0,0,9,1.327065582,-0.1062,0.1059,0.005348
VILLE-C,43.440024,1.670111,188,10.72,0.10,120.36,72.55,79.27,168.09,2.045,18.800,7.790,0.114,13.145,0.673,0.041,0.657,0.000,0.000,0.339,36.300,62.850,0.000,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,9.174760158,1.439305138,-0.3955450662,0.2033402546,2.60070973,0.6150572654,0.06005689394,-0.05761772599,10.42206143,1.686414573,-0.3026678429,0.1820328623,.,.,.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,23,0,0,0,0,1,1,36,0,0,0,5,5,0,0,0,0,0,0,12,1.347185582,-0.02724,-0.0752,-0.125
VILLE-D,43.439733,1.670712,188,10.72,0.11,120.36,72.55,79.27,168.18,1.260,26.200,7.820,0.038,8.580,0.260,0.017,0.164,0.000,0.023,0.190,33.000,57.100,0.000,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,11.50956016,2.072605138,0.4069549338,0.1505402546,1.93868673,0.2736572654,0.01182689394,0.009902274007,9.351571429,1.837114573,0.3847321571,0.1137328623,1.961594634,0.5246119543,0.1541666589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,0.836475582,-0.3654,0.1655,0.08335
VILLEM-A,43.273815,0.321238,326,9.86,-0.14,131.09,74.64,82.36,191.73,3.485,12.650,5.330,0.062,6.645,1.051,0.047,0.474,0.009,0.433,0.442,44.200,76.500,0.085,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13.83286016,2.368705138,0.2906549338,0.09125025459,3.01108673,0.5439872654,0.1508668939,-0.01865772599,13.29577143,2.415014573,0.2452321571,-0.01888713775,1.831314634,0.4031219543,0.2512586589,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,51,0,17,0,0,102,0,1,0,0,0,0,11,1.370695582,0.008788,-0.2708,0.09611
